accel,Walk,Stand,Run,Descend Stairs
0.007209474,0,1,0,0
0.012814381,0,1,0,0
0.016782006,0,1,0,0
0.019609317,0,1,0,0
0.011445168,0,1,0,0
0.013854305,0,1,0,0
0.014996984,0,1,0,0
0.018497035,0,1,0,0
0.011380049,0,1,0,0
0.022814114,0,1,0,0
0.003291848,0,1,0,0
0.02375842,0,1,0,0
0.012263408,0,1,0,0
0.003495894,0,1,0,0
0.012084089,0,1,0,0
0.010951159,0,1,0,0
0.012359775,0,1,0,0
0.023927742,0,1,0,0
0.016129774,0,1,0,0
0.004589513,0,1,0,0
0.009728255,0,1,0,0
0.016526718,0,1,0,0
0.023133064,0,1,0,0
0.015545846,0,1,0,0
0.014203322,0,1,0,0
0.016810283,0,1,0,0
0.010665158,0,1,0,0
0.009133528,0,1,0,0
0.009052609,0,1,0,0
0.009507778,0,1,0,0
0.028671952,0,1,0,0
0.015833176,0,1,0,0
0.015994953,0,1,0,0
0.021807794,0,1,0,0
0.010148847,0,1,0,0
0.008026319,0,1,0,0
0.017385238,0,1,0,0
0.002822031,0,1,0,0
0.013252976,0,1,0,0
0.022882038,0,1,0,0
0.012379564,0,1,0,0
0.020137232,0,1,0,0
0.002592148,0,1,0,0
0.004105777,0,1,0,0
0.012999552,0,1,0,0
0.024456414,0,1,0,0
0.009394286,0,1,0,0
0.015990267,0,1,0,0
0.014339384,0,1,0,0
0.019172788,0,1,0,0
0.022670907,0,1,0,0
0.010153515,0,1,0,0
0.008732275,0,1,0,0
0.025900402,0,1,0,0
0.01115463,0,1,0,0
0.012392067,0,1,0,0
0.008493562,0,1,0,0
0.009073455,0,1,0,0
0.020713841,0,1,0,0
0.020602047,0,1,0,0
0.018131064,0,1,0,0
0.007881311,0,1,0,0
0.014597024,0,1,0,0
0.018490493,0,1,0,0
0.015485747,0,1,0,0
0.022671021,0,1,0,0
0.01292703,0,1,0,0
0.029725866,0,1,0,0
0.021710227,0,1,0,0
0.014625939,0,1,0,0
0.006164755,0,1,0,0
0.019974654,0,1,0,0
0.016522314,0,1,0,0
0.020852668,0,1,0,0
0.021105298,0,1,0,0
0.005333225,0,1,0,0
0.007594174,0,1,0,0
0.00384899,0,1,0,0
0.009542605,0,1,0,0
0.015591287,0,1,0,0
0.020016896,0,1,0,0
0.010909081,0,1,0,0
0.013527821,0,1,0,0
0.029012906,0,1,0,0
0.00832025,0,1,0,0
0.026182413,0,1,0,0
0.014709886,0,1,0,0
0.04211481,0,1,0,0
0.011006676,0,1,0,0
0.01416236,0,1,0,0
0.007922523,0,1,0,0
0.022375044,0,1,0,0
0.015600938,0,1,0,0
0.012173597,0,1,0,0
0.019281066,0,1,0,0
0.020369001,0,1,0,0
0.009609232,0,1,0,0
0.025551952,0,1,0,0
0.007321355,0,1,0,0
0.013069207,0,1,0,0
0.017944874,0,1,0,0
0.032938956,0,1,0,0
0.022829265,0,1,0,0
0.006783575,0,1,0,0
0.01096788,0,1,0,0
0.007065034,0,1,0,0
0.00782473,0,1,0,0
0.021774568,0,1,0,0
0.025154147,0,1,0,0
0.01188574,0,1,0,0
0.028168418,0,1,0,0
0.021794876,0,1,0,0
0.019195936,0,1,0,0
