idx,country,users,purpose,detailed_purpose,period,mass,site,contractor,min_lifetime,max_lifetime,date
508,United States,Commercial,Communications,,114.08,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-02-06
509,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2010-10-19
510,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-12-28
511,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-07-13
512,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-12-28
513,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-07-13
514,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-12-28
515,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-07-13
516,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-12-28
517,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-07-13
518,United States,Commercial,Communications,,118.2,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-07-13
519,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-12-28
520,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-07-13
521,United States,Commercial,Communications,,114.1,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2011-12-28
522,United States,Commercial,Communications,,113.35,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-02-06
523,United States,Commercial,Communications,,103.44,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-02-06
524,United States,Commercial,Communications,,114.08,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-02-06
525,United States,Commercial,Communications,,103.48,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-02-06
526,United States,Commercial,Communications,,113.96,700.0,Baikonur Cosmodrome,Thales Alenia Space,15.0,15.0,2013-02-06
527,Russia,Military/Commercial,Navigation/Global Positioning,,675.78,935.0,Plesetsk Cosmodrome,ISS Reshetnev,10.0,10.0,2011-02-26
528,Russia,Military/Commercial,Navigation/Global Positioning,,676.15,935.0,Plesetsk Cosmodrome,ISS Reshetnev,10.0,10.0,2014-12-01
529,Russia,Military/Commercial,Navigation/Global Positioning,,675.39,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2005-12-25
530,Russia,Military/Commercial,Navigation/Global Positioning,,675.75,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2006-12-25
531,Russia,Military/Commercial,Navigation/Global Positioning,,675.75,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2006-12-25
532,Russia,Military/Commercial,Navigation/Global Positioning,,675.75,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2006-12-25
533,Russia,Military/Commercial,Navigation/Global Positioning,,675.83,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2007-10-26
534,Russia,Military/Commercial,Navigation/Global Positioning,,675.67,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2007-10-26
535,Russia,Military/Commercial,Navigation/Global Positioning,,680.91,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2007-12-25
536,Russia,Military/Commercial,Navigation/Global Positioning,,680.75,1480.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2007-12-25
537,Russia,Military/Commercial,Navigation/Global Positioning,,681.53,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2009-12-14
538,Russia,Military/Commercial,Navigation/Global Positioning,,675.85,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2010-03-01
539,Russia,Military/Commercial,Navigation/Global Positioning,,675.81,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2010-03-01
540,Russia,Military/Commercial,Navigation/Global Positioning,,670.47,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2009-12-14
541,Russia,Military/Commercial,Navigation/Global Positioning,,675.08,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2009-12-14
542,Russia,Military/Commercial,Navigation/Global Positioning,,675.81,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2010-03-01
543,Russia,Military/Commercial,Navigation/Global Positioning,,671.2,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2010-09-02
544,Russia,Military/Commercial,Navigation/Global Positioning,,680.43,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2010-09-02
545,Russia,Military/Commercial,Navigation/Global Positioning,,676.2,1415.0,Plesetsk Cosmodrome,ISS Reshetnev,7.0,7.0,2011-10-02
546,Russia,Military/Commercial,Navigation/Global Positioning,,677.46,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2011-11-04
547,Russia,Military/Commercial,Navigation/Global Positioning,,677.5,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2011-11-04
548,Russia,Military/Commercial,Navigation/Global Positioning,,677.54,1415.0,Baikonur Cosmodrome,ISS Reshetnev,7.0,7.0,2011-11-04
549,Russia,Military/Commercial,Navigation/Global Positioning,,675.73,1415.0,Plesetsk Cosmodrome,ISS Reshetnev,7.0,7.0,2013-04-26
550,Russia,Military/Commercial,Navigation/Global Positioning,,675.75,1415.0,Plesetsk Cosmodrome,ISS Reshetnev,7.0,7.0,2016-02-07
551,Russia,Military/Commercial,Navigation/Global Positioning,,675.49,1415.0,Plesetsk Cosmodrome,ISS Reshetnev,7.0,7.0,2016-05-29
552,Russia,Military/Commercial,Navigation/Global Positioning,,675.74,1415.0,Plesetsk Cosmodrome,ISS Reshetnev,7.0,7.0,2014-03-23
553,Russia,Military/Commercial,Navigation/Global Positioning,,675.73,1415.0,Plesetsk Cosmodrome,ISS Reshetnev,7.0,7.0,2014-06-14
554,United States,Government,Earth Observation,Earth Science/Meterology,1436,3200.0,Cape Canaveral,Boeing Satellite Systems,7.0,7.0,2006-05-24
555,United States,Government,Earth Observation,Earth Science/Meterology,1436,3200.0,Cape Canaveral,Boeing Satellite Systems,10.0,10.0,2009-06-27
556,United States,Government,Earth Observation,Earth Science/Meterology,1436.14,3175.0,Cape Canaveral,Boeing Satellite Systems,10.0,10.0,2010-03-04
557,United States,Government,Earth Observation,Earth Science/Meterology,1436.1,5192.0,Cape Canaveral,Lockheed Martin Missiles and Space,20.0,20.0,2016-11-19
558,Turkey,Military,Earth Observation,Optical Imaging,98.42,1060.0,Guiana Space Center,Thales Alenia Space,7.0,7.0,2016-12-05
559,Turkey,Military,Earth Observation,Optical Imaging,98.35,409.0,Jiuquan Satellite Launch Center,TUBITAK Space Technologies Research Institute/Turkish Aerospace Industries,5.0,5.0,2012-12-18
560,Russia,Commercial/Government,Communications,,114,240.0,Plesetsk Cosmodrome,NPO PM,3.0,3.0,1996-02-19
561,Russia,Commercial/Government,Communications,,115.9,270.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2012-07-28
562,Russia,Commercial/Government,Communications,,115.9,270.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2012-07-28
563,Russia,Commercial/Government,Communications,,116.1,270.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2010-09-08
564,Russia,Commercial/Government,Communications,,116,280.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2015-03-31
565,Russia,Commercial/Government,Communications,,116,280.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2015-03-31
566,Russia,Commercial/Government,Communications,,116,280.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2015-03-31
567,Russia,Commercial/Government,Communications,,115.86,270.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2013-09-11
568,Russia,Commercial/Government,Communications,,116,270.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2013-09-11
569,Russia,Commercial/Government,Communications,,116.02,270.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2013-09-11
570,Russia,Commercial/Government,Communications,,115.87,280.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2014-07-03
571,Russia,Commercial/Government,Communications,,115.89,280.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2014-07-03
572,Russia,Commercial/Government,Communications,,115.84,280.0,Plesetsk Cosmodrome,M.F. Reshetnev Information Satellite Systems,5.0,7.0,2014-07-03
573,USA/Japan,Government,Earth Observation,Earth Science,92.57,3850.0,Tanegashima Space Center,NASA/Goddard Space Flight Center,,,2014-02-27
574,Germany/USA,Civil,Earth Observation,Earth Science,93.4,480.0,Plesetsk Cosmodrome,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,5.0,5.0,2002-03-17
575,Germany/USA,Civil,Earth Observation,Earth Science,93.4,480.0,Plesetsk Cosmodrome,Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH,5.0,5.0,2002-03-17
576,Japan,Civil,Earth Observation,Earth Science,98.1,1750.0,Tanegashima Space Center,Mitsubishi Electric,5.0,5.0,2009-01-23
577,United States,Government/Civil,Technology Development,,95.5,4.0,Vandenberg AFB,"Michigan Exploration Laboratory, University of Michigan",,,2015-01-31
578,India,Government,Communications,,1436.07,3400.0,Guiana Space Center,Indian Space Research Organization (ISRO),15.0,15.0,2012-09-28
579,India,Government,Communications,,1436.1,1410.0,Satish Dhawan Space Center,Indian Space Research Organization (ISRO),8.0,8.0,2011-07-15
580,India,Government,Communications,,1436.1,1982.0,Satish Dhawan Space Center,Indian Space Research Organization (ISRO),12.0,12.0,2014-01-05
581,India,Government,Communications,,1436.1,3164.0,Guiana Space Center,Indian Space Research Organization (ISRO),12.0,12.0,2015-01-10
