date,country,users,purpose,detailed_purpose,period,mass,launch,lifetime,site,contractor,min_lifetime,max_lifetime,date
2002-03-29,Luxembourg,Commercial,Communications,,1436.07,"1,500",3/29/02,10 yrs.,Guiana Space Center,Boeing Satellite Systems,10.0,10.0,2002-03-29
2010-05-21,Luxembourg,Commercial,Communications,,1436.11,"5,471",5/21/10,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2010-05-21
2014-03-22,Luxembourg,Commercial,Communications,,1436.26,"5,724",3/22/14,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2014-03-22
2015-09-28,India,Government,Space Science,,97.54,230,9/28/15,5 yrs.,Satish Dhawan Space Centre,Indian Space Research Organization (ISRO),5.0,5.0,2015-09-28
2014-02-06,France/Italy,Government/Military,Communications,,1436.06,"3,080",2/6/14,15 yrs.,Guiana Space Center,Thales Alenia Space,15.0,15.0,2014-02-06
2015-12-16,Singapore,Commercial,Technology Development,,95.46,6,12/16/15,,Satish Dhawan Space Center,Microspace Rapid Pvt Ltd.,,,2015-12-16
2014-06-19,Russia,Commercial,Technology Development,,96.7,25,6/19/14,1 yr.,Dombarovsky Air Base,Sputnix Ltd.,1.0,1.0,2014-06-19
2013-02-07,Azerbaijan,Government,Communications,,1436.08,"3,250",2/7/13,15 yrs.,Guiana Space Center,Orbital Sciences Corp.,15.0,15.0,2013-02-07
2006-11-08,Multinational,Government,Communications,,1436.06,"3,304",11/8/06,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2006-11-08
2010-06-03,Multinational,Government,Communications,,1439.76,"5,420",6/3/10,15 yrs.,Baikonur Cosmodrome,EADS Astrium,15.0,15.0,2010-06-03
2010-06-26,Multinational,Government,Communications,,1427.27,"4,940",6/26/10,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2010-06-26
2008-07-07,Multinational,Government,Communications,,1436.1,"3,400",7/7/08,15 yrs.,Guiana Space Center,EADS Astrium,15.0,15.0,2008-07-07
2015-11-10,Multinational,Government,Communications,,"1,436.00","5,500",11/10/15,15 yrs.,Guiana Space Center,Airbus Defense and Space,15.0,15.0,2015-11-10
2015-02-27,Russia,Military,Earth Observation,Electronic Intelligence,96.1,"4,000",2/27/15,5 yrs.,Plesetsk Cosmodrome,Progress Rocket and Space Center,5.0,5.0,2015-02-27
2016-03-24,Russia,Military,Earth Observation,Electronic Intelligence,96.10,"4,000",3/24/16,5 yrs.,Plesetsk Cosmodrome,Progress Rocket and Space Center,5.0,5.0,2016-03-24
2009-09-23,Germany,Civil,Technology Development,,99,1,9/23/09,1 yr.,Satish Dhawan Space Center,Technische Universitat Berlin,1.0,1.0,2009-09-23
2013-04-19,Germany,Civil,Technology Development,,96.01,1,4/19/13,1 yr.,Baikonur Cosmodrome,Technische Universitat Berlin,1.0,1.0,2013-04-19
2013-04-19,Germany,Civil,Technology Development,,96.01,1,4/19/13,1 yr.,Baikonur Cosmodrome,Technische Universitat Berlin,1.0,1.0,2013-04-19
2012-04-28,China,Military/Government,Navigation/Global Positioning,,773.19,"2,200",4/28/12,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2012-04-28
2012-04-28,China,Military/Government,Navigation/Global Positioning,,773.21,"2,200",4/28/12,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2012-04-28
2012-09-18,China,Military/Government,Navigation/Global Positioning,,773.1,"3,800",9/18/12,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2012-09-18
2012-09-18,China,Military/Government,Navigation/Global Positioning,,773.1,"3,800",9/18/12,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2012-09-18
2012-10-25,China,Military/Government,Navigation/Global Positioning,,1436.11,"3,800",10/25/12,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2012-10-25
2016-06-12,China,Military/Government,Navigation/Global Positioning,,1436.1,"3,800",6/12/16,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2016-06-12
2015-03-30,China,Military/Government,Navigation/Global Positioning,,1461.81,"4,200",3/30/15,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2015-03-30
2015-09-29,China,Military/Government,Navigation/Global Positioning,,1435.73,"4,200",9/29/15,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2015-09-29
2015-07-25,China,Military/Government,Navigation/Global Positioning,,773.2,800,7/25/15,5 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),5.0,5.0,2015-07-25
2015-07-25,China,Military/Government,Navigation/Global Positioning,,773.3,800,7/25/15,5 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),5.0,5.0,2015-07-25
2016-02-01,China,Military/Government,Navigation/Global Positioning,,773.2,800,2/1/16,5 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),5.0,5.0,2016-02-01
2010-01-16,China,Military/Government,Navigation/Global Positioning,,1436.05,"2,200",1/16/10,,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),,,2010-01-16
2010-06-02,China,Military/Government,Navigation/Global Positioning,,1436.05,"2,200",6/2/10,,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),,,2010-06-02
2010-10-31,China,Military/Government,Navigation/Global Positioning,,1436.1,"6,000",10/31/10,,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),,,2010-10-31
2012-02-24,China,Military/Government,Navigation/Global Positioning,,1436.15,"2,300",2/24/12,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2012-02-24
2010-07-31,China,Military/Government,Navigation/Global Positioning,,1435.82,"4,200",7/31/10,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2010-07-31
2010-12-17,China,Military/Government,Navigation/Global Positioning,,1436.12,"4,200",12/17/10,8 yrs.,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),8.0,8.0,2010-12-17
2011-04-09,China,Military/Government,Navigation/Global Positioning,,1435.93,"4,200",4/9/11,,Xichang Satellite Launch Center,Space Technology Research Institute (part of CASC),,,2011-04-09
