FMID,State,Zip,Schedule,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
1003072,Arizona,85044,,-111.979845,33.330349,Other,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N
1003652,South Carolina,29801,"April Tuesday 7:00 AM to 2:00 PM, Thursday - Saturday 7:00 AM to 2:00 PM May - September Monday - Saturday 7:00 AM to 2:00 PM October - December Tuesday 7:00 AM to 2:00 PM, Thursday - Saturday 7:00 AM to 2:00 PM",-81.7084941,33.5568819,Local government building grounds,N,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,N
22004283,Hawaii,,,-154.951,19.4975,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22000946,Florida,32531,,-86.7014,30.7979,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22001480,Iowa,51031,,-96.5573,42.8309,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003970,New York,,,-74.6677,44.9739,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004147,Hawaii,96814,January - December Saturday 8:00 AM to 12:00 PM,-157.845973,21.291624,Private business parking lot,Y,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N
1001312,Florida,32653,"January - December Saturday 8:30 AM to 1:00 PM, (Open Every Saturday!)",-82.353226,29.710168,Local government building grounds,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N
22001993,North Carolina,27215,,-79.4357,36.0943,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003818,Nevada,89001,July - October Saturday 10:00 AM to 2:00 PM,-115.1435,37.33075,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,Y,N,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
1002772,New Mexico,,"June - October Wednesday 5:00 AM to sellout, Saturday 9:00 AM to sellout, (till sellout)",-105.9606168,32.9126233,Other,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1003229,New Mexico,,January - December Saturday 8:30 AM to 11:00 AM,-105.9606,32.92649,Local government building grounds,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002002,Colorado,81101,July - October Saturday 8:00 AM to 2:00 PM,-105.864687,37.467893,,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N
1004079,Georgia,31702,May - December Saturday 8:00 AM to 2:00 PM,-84.15366,31.57684,Local government building grounds,Y,N,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
1000760,Oregon,97321,April - November Saturday 9:00 AM to 1:00 PM,-123.1061,44.6349,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N
1002176,Minnesota,56007,"May - October Wednesday 4:00 PM to 6:00 PM, Saturday 9:00 AM to 12:00 PM",-93.369112,43.650982,Other,N,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N
22002971,Oregon,97211,,-122.65,45.5591,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004655,Alabama,36720,,-87.4101,32.2319,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22000891,Michigan,49224,,-85.4148,41.3959,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002777,New Mexico,,May - November Saturday 7:00 AM to 12:00 PM,-106.656754,35.085834,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002781,New Mexico,,May - October Tuesday 3:00 PM to 7:00 PM,-106.55762,35.1506,Educational institution,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22001115,New Mexico,,,-106.578,35.0553,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
21005507,Michigan,48740,"April - November Saturday 10:00 am to 1:00 pm, (Also open Wed 4-6 pm June-September)",-83.2973,44.6547,Federal/State government building grounds,N,N,N,N,N,Y,N,Y,N,N,Y,Y,N,Y,N,N,Y,N,N,N,N,N,Y,N,N
22002159,Minnesota,55109,,-93.0877,44.9609,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003862,Alabama,35010,,-85.9549,32.9442,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22004656,New York,13607,,-75.9157,44.3314,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22002105,Virginia,22314,,-77.043,38.8048,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1001199,Minnesota,56308,"May - October Tuesday 9:00 AM to 12:00 PM, Thursday 3:00 PM to 6:00 PM, Saturday 9:00 AM to 12:00 PM",-95.376885,45.8908,Other,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,N
22004657,Wisconsin,,,-87.4363,44.6077,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003239,Illinois,60102,,-88.293,42.165,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22002738,California,91801,,-118.123,34.094,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22002259,Hawaii,96740,,-155.982,19.6144,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004075,Florida,33031,"November Sunday 1:00 PM to 4:00 PM, (1st Sunday of each month) December Saturday 9:00 AM to 1:00 PM, Sunday 1:00 PM to 4:00 PM, (1st Sunday of each month)",-80.508789,25.51147,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N
22000105,South Carolina,29205,,-81.0358,33.9847,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22000106,South Carolina,,,-81.0044,33.9874,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
21001636,Iowa,52172,January - December Monday 3:30 pm to 5:30 pm,-91.4742,43.2569,Local government building grounds,N,N,N,N,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N
22001680,Michigan,49010,,-85.8584,42.5287,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
21006057,North Carolina,28675,"January - December Thursday 3:30 pm to 5:30 pm, Saturday 10:00 am to 2:00 pm",-81.1209,36.5054,Private business parking lot,N,N,N,N,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,N,N,Y,N,N,N,N,N
1004036,Kansas,66749,"April - October Thursday 5:30 PM to 7:00 PM, (Closes at 7:30 pm between Memorial Day and Labor Day)",-95.4055011,37.922165,Closed-off public street,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N
1003406,Michigan,48912,"May - October Wednesday 2:30 AM to 7:00 PM, (closes at 6:30 September and October)",-84.5263051,42.7299413,Private business parking lot,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N
22001865,South Carolina,29810,,-81.3191,33.0044,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1004007,Michigan,49401,June - September Tuesday 11:00 AM to 5:00 PM,-85.937161,42.972533,Private business parking lot,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N
22003299,Pennsylvania,18104,,-75.4942,40.6008,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22003312,Pennsylvania,18104,,-79.7254,40.6218,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
